Date,Hashrate,Fees(sat),Nb_trans,Nb_trans_block,Price,Fee_per_block,Block_reward,ELectricity(TWh),Cambridge_MAX(TWh),Cambridge_MIN(TWh),Cambridge_GUESS(TWh),Dig_Guess(TWh),Dig_Min(TWh)
2022-01-07,168921783.5353667,14.302949689999997,255381.0,1824.15,43120.63,0.00026090725677013494,6.25,283.31436561013004,318.220429367016,47.4059403461443,122.446158343734,"204,495516826","46,6886967726"
2022-01-10,172037609.10113046,11.455945769999996,266743.0,1878.4718309859154,41864.44,0.00021519671426247245,6.25,275.058841155337,305.706839328792,45.5417655536957,117.631127987836,"204,495516826","49,8882495916"
2022-01-13,216864310.0641011,10.43758314,274515.0,1533.6033519553073,43926.0,0.000160071124898162,6.25,288.60121128598496,316.269329202936,47.1152810123871,121.695406042536,"204,495516826","52,5601589766"
2022-01-16,212018180.23026645,6.366740770000002,216151.0,1235.1485714285714,43146.53,7.863870766721544e-05,6.25,283.47626880831234,339.249231648936,50.53864351203,130.537706894256,"204,495516826","54,032416825"
2022-01-19,209595115.3133491,8.660048830000006,270334.0,1562.6242774566474,42381.48,0.00013532402545718045,6.25,278.45235247638135,348.6558386916,51.9399647697857,134.15721962546,"204,495516826","58,1270909791"
2022-01-22,177474949.66786668,11.144466269999999,250294.0,1867.865671641791,36480.85,0.00020816365974502834,6.25,239.68716729939362,335.536380707688,49.9855326052757,129.109060923401,"204,495516826","59,5259926976"
2022-01-25,201314868.2799682,10.852287239999995,265128.0,1744.2631578947369,36678.82,0.0001892924481162315,6.25,240.98714590644175,339.264259378056,50.5408822232014,130.54348932533,"204,495516826","58,6674704559"
2022-01-28,203963748.12575728,12.53358866,264609.0,1718.2402597402597,37146.85,0.00021535716634635973,6.25,244.06321393218084,325.570840195731,49.0219913170929,125.207605755376,"204,495516826","58,3130001448"
2022-01-31,189394908.97391748,13.023316970000005,263410.0,1842.027972027972,37918.62,0.00023989314147326583,6.25,249.134895553416,309.750154108827,49.6644267995871,122.801847560644,"204,495516826","56,5102663669"
2022-02-03,194692668.66549554,10.616929520000003,265344.0,1805.061224489796,36912.68,0.00019164207799693067,6.25,242.52374381266185,296.67705590736,51.6905350334357,123.038677411035,"204,495516826","57,5580904914"
2022-02-06,206979740.54057044,10.267598419999999,219196.0,1405.1025641025642,41435.43,0.00014427028867117434,6.25,272.2370590700014,272.169005203419,49.5507375839314,116.022738436385,"204,495516826","58,5335821611"
2022-02-09,185751049.20307598,14.578782749999998,265804.0,1898.6,44133.28,0.00027679276929149996,6.25,289.9684908203559,272.851371266061,48.60014350869,114.259999803679,"204,495516826","56,9096298931"
2022-02-12,248110330.00696588,12.377311950000008,228189.0,1220.2620320855615,42401.27,0.00015103563831863915,6.25,278.5830758929474,314.75388191724,52.5744528276214,125.140264100667,"204,495516826","56,5621664846"
2022-02-15,232188811.50384504,12.479707419999999,273623.0,1563.56,42580.94,0.00019512771333615196,6.25,279.7655099279924,353.325870261339,54.5546301706029,133.629426850907,"204,495516826","58,770482989"
2022-02-18,186294128.8834766,9.413693890000005,261055.0,1948.1716417910447,40565.69,0.00018339491480999636,6.25,266.5244037457744,370.574454676618,55.9595333662329,140.112126669357,"204,495516826","62,4329975718"
2022-02-21,171001327.25871363,9.555417659999993,237402.0,1930.0975609756097,38382.32,0.00018442888319669256,6.25,252.17928364340278,354.314685069607,52.8851859382157,134.168240550773,"204,495516826","63,4512405296"
2022-02-24,183513619.49715608,10.248720819999997,254139.0,1925.2954545454545,37291.48,0.0001973181560965136,6.25,245.01275863031861,327.828897393182,51.0430251389529,125.940602741265,"204,495516826","60,2174837891"
2022-02-27,189074638.26979718,6.941008800000008,211164.0,1552.6764705882354,39103.91,0.00010777141045905895,6.25,256.9171187548522,291.690037397325,49.3830954290443,117.542164676249,"204,495516826","61,167808141"
2022-03-02,189074638.26979718,29.265981479999997,288657.0,2122.4779411764707,44418.83,0.0006211640011817912,6.25,291.860717156733,278.941177080823,50.7836704497429,118.909642938207,"204,495516826","57,1665301596"
2022-03-05,168452735.66472492,11.260664489999996,225321.0,1831.878048780488,39141.25,0.00020628164093912922,6.25,257.16650001628784,283.046821652304,51.53113879803,120.659835344846,"204,495516826","56,2665347548"
2022-03-08,202691096.5721893,10.584156980000001,255771.0,1728.1824324324325,38032.5,0.0001829135415494311,6.25,249.8808378402236,274.110440386649,49.9041927660472,116.850351508221,"204,495516826","59,6923909119"
2022-03-11,188995752.20920354,11.0320505,252383.0,1828.8623188405797,39437.89,0.0002017610145899638,6.25,259.11530172856914,272.538314419104,49.61797354278,116.180171008479,"204,495516826","62,8422923822"
2022-03-14,209538768.75368217,10.311670240000003,259592.0,1696.6797385620914,37820.39,0.00017495601966941704,6.25,248.48691799042746,288.817636799499,52.5817659507814,123.119872173387,"204,495516826","59,4170301328"
2022-03-17,217523034.50856918,10.508906589999992,278800.0,1753.4591194968552,41133.08,0.00018426938096176084,6.25,270.25230324102876,294.939931028215,53.6963829311829,125.729740778367,"204,495516826","64,6562745579"
2022-03-20,210160951.25482893,6.458943799999999,210547.0,1367.1883116883116,42222.32,8.830592469211687e-05,6.25,277.404561779238,296.455082544062,53.9722294593557,126.375633678196,"204,495516826","67,9727725959"
2022-03-23,197878817.73993632,10.826884389999998,264182.0,1821.9448275862069,42372.67,0.00019725986013234342,6.25,278.39722827841786,296.010558854373,53.8913000505086,126.186137979599,"204,495516826","65,5098835895"
2022-03-26,219713721.76641208,8.185598199999998,231031.0,1434.975155279503,44334.33,0.00011746130048100617,6.25,291.28202229554233,310.493511560016,54.0248391718843,127.57728709978,"204,495516826","62,1936597281"
2022-03-29,206066906.74986473,9.959339,286940.0,1900.2649006622516,47115.93,0.00018925382335496687,6.25,309.56103351363197,330.365905546361,53.2610282320457,128.898580525864,"204,495516826","61,5491392426"
2022-04-01,200371606.28467658,19.628647410000006,284105.0,2014.9290780141844,45539.22,0.0003955033242849682,6.25,299.2116084716356,344.47121619193,52.2616302532671,128.904626966089,"204,495516826","60,8119289214"
2022-04-04,224529885.05658796,12.551040040000004,275106.0,1741.1772151898733,46425.52,0.00021853584944583803,6.25,305.0263314972401,350.422598711808,52.20316257984,128.971970024912,"204,495516826","60,6305891628"
2022-04-07,196108380.6190452,10.039681349999997,269404.0,1952.2028985507247,43190.18,0.00019599495031995647,6.25,283.76838106811124,358.060942961352,53.3410621564243,130.243543575604,"204,495516826","60,715718255"
2022-04-10,198950531.06279945,6.82969558,216446.0,1546.0428571428572,42787.69,0.00010559002067919144,6.25,281.1198725722692,362.33232450156,53.97737849505,131.797245197342,"204,495516826","61,2088529965"
2022-04-13,198950531.06279945,11.86276116,276968.0,1978.3428571428572,40102.2,0.00023468608806877713,6.25,263.48134729357713,344.217972342682,52.7578778962671,127.141740674974,"204,495516826","61,6776210039"
2022-04-16,188017878.85839576,6.426936649999999,225486.0,1682.7313432835822,40566.2,0.00010814807742252985,6.25,266.5245457789531,316.758979884939,52.7636985453129,123.8539558683,"204,495516826","60,7899943248"
2022-04-19,173986693.86896327,9.369770330000001,273168.0,2202.967741935484,40805.72,0.00020641301786334195,6.25,268.1024344808,286.221610253952,52.10913671064,119.602002892775,"204,495516826","61,2787828818"
2022-04-22,189420997.35733905,10.968648280000002,260930.0,1932.8148148148148,40514.01,0.0002120036589407704,6.25,266.18607458121835,293.59980174888,53.45240072535,122.685091132468,"204,495516826","61,0041307053"
2022-04-25,227305196.82880685,12.818948070000003,277417.0,1712.4506172839506,39465.57,0.00021951815535402414,6.25,259.29790187567363,311.715832892297,56.7505819586571,130.25514710168,"204,495516826","62,557493273"
2022-04-28,195503620.58301136,11.27300063,275765.0,2089.128787878788,39249.28,0.00023550750141908714,6.25,257.87748636705834,311.684681393527,56.7449105570229,130.242129979588,"204,495516826","64,203534469"
2022-05-01,247341701.7982037,7.81516491,232322.0,1391.1497005988024,37661.19,0.00010872064324676768,6.25,247.43832248970094,318.572031838752,57.3731321207914,132.888497405085,"204,495516826","65,7238920809"
2022-05-04,216238853.06908828,12.61590688,233045.0,1596.1986301369864,37727.19,0.00020137493279791783,6.25,247.87562459264092,320.234948029687,55.9674377874,132.950937688905,"204,495516826","66,1409428702"
2022-05-07,211795588.96492898,13.781268220000005,231623.0,1619.7412587412587,36013.03,0.00022322088733713714,6.25,236.61405755017051,323.270374663152,54.86407254405,133.606318722764,"204,495516826","67,2611707936"
2022-05-10,226823707.2333046,17.440956460000006,279658.0,1827.8300653594772,30175.71,0.0003187910458621361,6.25,198.26452697715342,312.069958183769,54.1630365832286,130.956735967889,"204,495516826","67,1182521295"
2022-05-13,236132102.61708185,31.539118490000007,269880.0,1775.5263157894738,28931.14,0.0005599853485579739,6.25,190.09462030646034,289.58835695903,54.5814320966357,129.76258459333,"204,495516826","66,3782546156"
2022-05-16,254774110.71843037,21.013812750000007,272134.0,1659.3536585365853,31277.43,0.0003486934706651526,6.25,205.50417973488396,259.657675260398,54.3174697098,126.99234857757,"204,495516826","67,0575451012"
2022-05-19,189527082.3637104,17.08973074,262479.0,2151.467213114754,28680.97,0.00036767995368069343,6.25,188.44505824310843,239.22147057768,53.0616223071,123.235054919743,"204,495516826","66,6742065443"
2022-05-22,189527082.3637104,11.647103809999999,209047.0,1713.5,29409.92,0.00019957312378435,6.25,193.22934434440037,230.674358799874,51.4405962116357,119.221633907411,"204,495516826","65,0627151698"
2022-05-25,219801139.27751222,19.46775853999999,288842.0,2005.8472222222222,29634.57,0.00039049349390351927,6.25,194.71128949864675,220.615764813566,50.1584186565,115.385345874169,"204,495516826","63,3705677559"
2022-05-28,219958827.93519703,11.820500789999995,226794.0,1532.3918918918919,28578.89,0.00018113639568697695,6.25,187.76874902299625,222.193004194286,51.4284224291357,117.502488423796,"204,495516826","62,0215325403"
2022-05-31,216986411.34147817,13.704035039999996,276273.0,1892.2808219178082,31715.58,0.00025931882689081637,6.25,208.38000613868613,228.624743622857,52.9171021177071,120.903789875618,"204,495516826","63,2286523069"
2022-06-03,212527786.45089987,18.093262669999994,267517.0,1870.7482517482517,30429.88,0.00033847939508324393,6.25,199.93513884160845,226.165839147154,51.7453233787286,118.748997183018,"204,495516826","63,9824021426"
2022-06-06,222931244.5289159,12.70170594,268921.0,1792.8066666666666,29901.35,0.00022771703087271598,6.25,196.4590271698291,226.81844280144,50.9182018134429,117.707231366331,"204,495516826","63,3308094419"
2022-06-09,219787040.37955952,10.072286050000002,262105.0,1795.2397260273972,30189.25,0.0001808216804887158,6.25,198.34911086510868,248.715605719594,55.1675127684214,128.125963176447,"204,495516826","62,6551822571"
2022-06-12,191184617.31646615,9.70808071,215473.0,1696.6377952755906,28344.5,0.0001647109665217189,6.25,186.22827268487006,250.003025812337,55.4530749236357,128.789178252631,"191,114","65,7396944854"
2022-06-15,248389463.44265285,25.76594979,296312.0,1795.830303030303,22189.29,0.00046271273419239275,6.25,145.7944282511184,235.367084732133,53.3033240630786,122.611652936513,"145,9238440689","66,8566690339"
2022-06-18,234840947.25487182,20.936404599999996,247890.0,1589.0384615384614,20434.75,0.0003326875215573076,6.25,134.2634539637113,208.724691579089,49.9522295631857,107.549552816611,"131,2353603767","65,3158445222"
