Date,Price,prix_log,interpolate,interpolate_log
2020-08-24,11653.02,9.363320652868023,15098.950342921184,9.622380506672997
2020-08-27,11467.37,9.347260890021632,15167.533846247308,9.626912491312055
2020-08-30,11481.64,9.348504516813305,15236.375655725338,9.631440983091693
2020-09-02,11923.25,9.386245554463521,15305.4765440863,9.635965987391764
2020-09-05,10467.89,9.256067755379311,15374.837285774765,9.640487509579678
2020-09-08,10367.74,9.246454341117126,15444.45865695173,9.64500555501047
2020-09-11,10352.66,9.244998770504349,15514.341435497046,9.649520129026833
2020-09-14,10330.77,9.242882099509954,15584.486401012091,9.654031236959163
2020-09-17,10948.43,9.300951345969462,15654.894334821776,9.658538884125576
2020-09-20,11081.43,9.313026013345414,15725.566019977325,9.663043075831958
2020-09-23,10532.22,9.262194409118125,15796.502241258842,9.667543817372007
2020-09-26,10692.84,9.277329637584764,15867.703785177548,9.672041114027259
2020-09-29,10692.33,9.277281940980052,15939.171439978696,9.676534971067149
2020-10-02,10619.24,9.270422729146658,16010.90599564347,9.68102539374901
2020-10-05,10673.46,9.275515565394937,16082.90824389191,9.685512387318141
2020-10-08,10670.8,9.275266318055019,16155.178978185388,9.689995957007838
2020-10-11,11302.67,9.332794259975797,16227.718993728737,9.69447610803941
2020-10-14,11428.24,9.343842764180197,16300.529087473318,9.698952845622252
2020-10-17,11327.57,9.334994856173491,16373.61005811892,9.70342617495384
2020-10-20,11758.16,9.372302746626037,16446.962706116832,9.70789610121981
2020-10-23,12990.25,9.47195435505297,16520.58783367176,9.712362629593947
2020-10-26,13036.77,9.475529105411582,16594.486244744898,9.71682576523827
2020-10-29,13289.0,9.494691904331507,16668.658745056084,9.72128551330303
2020-11-01,13810.32,9.533171417749651,16743.106142086428,9.725741878926769
2020-11-04,14023.31,9.548476224021561,16817.82924508058,9.730194867236328
2020-11-07,15595.77,9.654755002622624,16892.82886504983,9.734644483346926
2020-11-10,15328.53,9.637471076857121,16968.105814773917,9.73909073236215
2020-11-13,16295.57,9.698648570715106,17043.660908804042,9.74353361937402
2020-11-16,15968.16,9.678352018541124,17119.49496346512,9.747973149463007
2020-11-19,17798.45,9.786866653836926,17195.608796858338,9.752409327698075
2020-11-22,18699.75,9.836265433769356,17272.00322886392,9.756842159136724
2020-11-25,19172.52,9.861233282799247,17348.679081143175,9.761271648825002
2020-11-28,17138.87,9.749104262323838,17425.637177141653,9.765697801797572
2020-12-01,19709.73,9.888867701422802,17502.878342091197,9.770120623077723
2020-12-04,19454.54,9.875835740831747,17580.403403012126,9.774540117677383
2020-12-07,19377.66,9.871876135120674,17658.21318871701,9.778956290597222
2020-12-10,18554.15,9.828448762690616,17736.30852981164,9.783369146826601
2020-12-13,18803.44,9.84179511080288,17814.690258698927,9.787778691343682
2020-12-16,19439.75,9.875075217849433,17893.35920958037,9.7921849291154
2020-12-19,23150.79,10.049784184202105,17972.31621845961,9.796587865097557
2020-12-22,22745.48,10.032121723320667,18051.562123143758,9.800987504234783
2020-12-25,23715.53,10.073885386786388,18131.09776324722,9.805383851460647
2020-12-28,26246.58,10.175290973817564,18210.92398019289,9.809776911697611
2020-12-31,28856.59,10.270093668728663,18291.04161721627,9.814166689857153
2021-01-03,32195.46,10.379580727803122,18371.451519366386,9.818553190839708
2021-01-06,34046.67,10.435487509438357,18452.154533509416,9.822936419534763
2021-01-09,40670.25,10.613252145919505,18533.15150833115,9.827316380820882
2021-01-12,35544.94,10.478553090361034,18614.443294338693,9.831693079565696
2021-01-15,39158.47,10.575372025401094,18696.030743864103,9.836066520625991
2021-01-18,35793.01,10.485507901928107,18777.914711066496,9.840436708847719
2021-01-21,35538.98,10.478385401240514,18860.096051934102,9.844803649066002
2021-01-24,32099.74,10.376603209396832,18942.57562428784,9.849167346105219
2021-01-27,32541.8,10.390280695776623,19025.35428778286,9.853527804778984
2021-01-30,34314.26,10.443316290196906,19108.43290391184,9.85788502989022
2021-02-02,33522.9,10.419984066366895,19191.81233600735,9.862239026231173
2021-02-05,37002.09,10.518729676517546,19275.493449243684,9.866589798583412
2021-02-08,38928.1,10.569471633865051,19359.477110640833,9.870937351717934
2021-02-11,44878.17,10.71170676396417,19443.764189065932,9.875281690395134
2021-02-14,47185.19,10.761835351150728,19528.355555236158,9.879622819364855
2021-02-17,49160.1,10.802837597852028,19613.252081721395,9.883960743366423
2021-02-20,55916.5,10.931614785535444,19698.454642946614,9.888295467128671
2021-02-23,54123.4,10.899021903666926,19783.96411519466,9.89262699536998
2021-02-26,46800.42,10.753647456224444,19869.78137660865,9.8969553327983
2021-03-01,45113.92,10.716946125319055,19955.90730719464,9.901280484111183
2021-03-04,50477.7,10.82928693357804,20042.342788824164,9.905602453995819
2021-03-07,48881.59,10.797156121958004,20129.08870523689,9.909921247129063
2021-03-10,54881.52,10.91293195880922,20216.145942042902,9.914236868177454
2021-03-13,57253.28,10.955240212351748,20303.5153867258,9.918549321797272
2021-03-16,55754.72,10.928717349415729,20391.197928644684,9.922858612634535
2021-03-19,57665.9,10.962421289925741,20479.194459037408,9.927164745325065
2021-03-22,57411.17,10.957994162678805,20567.505871022433,9.931467724494482
2021-03-25,52508.23,10.868725198198614,20656.133059601958,9.935767554758257
2021-03-28,55863.93,10.930674191481982,20745.076921664477,9.940064240721746
2021-03-31,58730.13,10.980708162033611,20834.338355987064,9.944357786980198
2021-04-03,59031.32,10.985823429495817,20923.918263238087,9.948648198118796
2021-04-06,59054.1,10.986209251899338,21013.817545979917,9.95293547871269
2021-04-09,58048.59,10.96903569742536,21104.037108671382,9.957219633327014
2021-04-12,59964.87,11.001514169732179,21194.577857670472,9.961500666516933
2021-04-15,62969.12,11.050399726476451,21285.440701237098,9.965778582827667
2021-04-18,60087.09,11.003550288796369,21376.626549535056,9.970053386794497
2021-04-21,56507.91,10.942135907335446,21468.136314635547,9.974325082942833
2021-04-24,51153.13,10.842578962078454,21559.970910519012,9.978593675788211
2021-04-27,54056.64,10.897787664735699,21652.131253078027,9.982859169836331
2021-04-30,53584.15,10.889008594373156,21744.61826012007,9.987121569583095
2021-05-03,56610.46,10.943949052770524,21837.43285136966,9.991380879514615
2021-05-06,57473.23,10.959074553158915,21930.57594847176,9.995637104107274
2021-05-09,58928.81,10.984085384178213,22024.048474993597,9.999890247827722
2021-05-12,56750.0,10.94641093534365,22117.85135642745,10.004140315132908
2021-05-15,49922.52,10.818227482538429,22211.98552019359,10.008387310470127
2021-05-18,43596.24,10.68272618708626,22306.451895643044,10.012631238277052
2021-05-21,40784.32,10.616052972799316,22401.25141405916,10.016872102981715
